iter	Logloss
0	0.689443396
1	0.6859046874
2	0.6829511346
3	0.6803669111
4	0.6779273758
5	0.675723541
6	0.6736264762
7	0.6710193437
8	0.6689708408
9	0.6673605189
10	0.6650877493
11	0.6633458774
12	0.6616679511
13	0.659540826
14	0.6583251122
15	0.6570592563
16	0.6557751066
17	0.6546255418
18	0.653245058
19	0.6517240852
20	0.6507910955
21	0.649761148
22	0.6487023876
23	0.6478927155
24	0.6469183982
25	0.6460580436
26	0.6451391069
27	0.6441667021
28	0.6431250299
29	0.6424417937
30	0.6418032529
31	0.6410278819
32	0.6405765211
33	0.6397471831
34	0.6390995784
35	0.638321297
36	0.6377297383
37	0.6369464677
38	0.6362246064
39	0.6350254818
40	0.6345759088
41	0.6333493849
42	0.632522874
43	0.6318297009
44	0.6312146096
45	0.630582929
46	0.6300768112
47	0.6291008307
48	0.6287163259
49	0.6280535456
50	0.627477412
51	0.6268945429
52	0.626280491
53	0.6255511042
54	0.6252043098
55	0.6246411482
56	0.6243469904
57	0.6239609056
58	0.6232323919
59	0.6227541723
60	0.6223310008
61	0.6219284515
62	0.6212909917
63	0.6207743549
64	0.6202898987
65	0.6197559658
66	0.6193788617
67	0.6188286306
68	0.6184761401
69	0.6178499476
70	0.617482032
71	0.6171552778
72	0.6168643213
73	0.616345772
74	0.6157503882
75	0.6155236268
76	0.6151693484
77	0.614459794
78	0.61420792
79	0.6138874439
80	0.6134543354
81	0.612937948
82	0.6127260296
83	0.6125369787
84	0.6121670258
85	0.6119482472
86	0.6116649825
87	0.6113253809
88	0.6107832989
89	0.6103445776
90	0.6099839795
91	0.6095213929
92	0.6090119489
93	0.6085994627
94	0.6081018266
95	0.6078687455
96	0.607584774
97	0.6072842964
98	0.6067998819
99	0.6065607305
100	0.6063315576
101	0.6060192306
102	0.6057184204
103	0.6054142424
104	0.6048632214
105	0.6046176671
106	0.6042596885
107	0.6040460238
108	0.6036026043
109	0.6032619216
110	0.6029084333
111	0.6026243371
112	0.6021785476
113	0.6017197861
114	0.6013420583
115	0.6007138286
116	0.6004015847
117	0.600224799
118	0.5997157292
119	0.5997152303
120	0.5992274895
121	0.598949713
122	0.5986012971
123	0.5983585701
124	0.5980612108
125	0.597514098
126	0.5971969064
127	0.5971954096
128	0.5969476102
129	0.596737147
130	0.5965744143
131	0.5964022852
132	0.5962399683
133	0.5959831882
134	0.5956500726
135	0.5953006588
136	0.5949771891
137	0.594961473
138	0.594704693
139	0.594265639
140	0.5941098912
141	0.5941033636
142	0.5938210552
143	0.5935356286
144	0.593271032
145	0.5930381172
146	0.592824411
147	0.592419866
148	0.5921405512
149	0.5918515073
150	0.5915935631
151	0.5913573221
152	0.5907839326
153	0.5904577603
154	0.5902107925
155	0.5900187895
156	0.5897880367
157	0.5896478388
158	0.5893546372
159	0.5891328651
160	0.5886379315
161	0.5883523801
162	0.588063253
163	0.5877964113
164	0.5874513631
165	0.5871869745
166	0.5869039177
167	0.586583691
168	0.5861245137
169	0.5859303487
170	0.5857004275
171	0.5854182022
172	0.5851809634
173	0.5848353331
174	0.5843917472
175	0.5837988581
176	0.58338105
177	0.5832514542
178	0.5831173265
179	0.5830925882
180	0.5828110697
181	0.58254639
182	0.5822115282
183	0.5818528012
184	0.5814549085
185	0.58109377
186	0.5807186615
187	0.5803863359
188	0.5801632749
189	0.5797737808
190	0.579569471
191	0.5792842522
192	0.5790710865
193	0.5788633674
194	0.5785791465
195	0.5784035664
196	0.5781249168
197	0.5778893411
198	0.5776699804
199	0.577360148
