iter	Logloss
0	0.677303762
1	0.6651607443
2	0.6544275783
3	0.6456531919
4	0.6361681386
5	0.6285441829
6	0.6210081972
7	0.6138373001
8	0.6060285986
9	0.6006638933
10	0.5941868719
11	0.589242981
12	0.5843729022
13	0.579073419
14	0.5744763149
15	0.5714148882
16	0.5688044914
17	0.5651309433
18	0.5612196862
19	0.5575628861
20	0.5544934306
21	0.5514703343
22	0.5493031978
23	0.5470755441
24	0.5449380187
25	0.5414287562
26	0.5398759855
27	0.5376966765
28	0.5347222702
29	0.5328576332
30	0.5313433225
31	0.5291241723
32	0.5268054838
33	0.5244177747
34	0.5222344082
35	0.5204243316
36	0.5182829213
37	0.5170416717
38	0.5153619963
39	0.5136694578
40	0.5123199506
41	0.5111933901
42	0.5103396317
43	0.5087624729
44	0.5069195479
45	0.5062458303
46	0.5052395272
47	0.5042860579
48	0.5032054248
49	0.502382443
50	0.5010609067
51	0.5003722972
52	0.4993492893
53	0.4985729687
54	0.4975674857
55	0.4970457948
56	0.4965183199
57	0.4956211808
58	0.4947969903
59	0.4941265532
60	0.4931792997
61	0.4921814569
62	0.491198506
63	0.4903787184
64	0.4894657809
65	0.4886858345
66	0.4874272326
67	0.4862129611
68	0.4851528313
69	0.484220038
70	0.4837892093
71	0.4826385196
72	0.4820917499
73	0.4813329111
74	0.4803465502
75	0.4796042436
76	0.4787392191
77	0.4779615605
78	0.4772994542
79	0.4764626164
80	0.4761848935
81	0.4753212504
82	0.4744484995
83	0.4738268819
84	0.4732873207
85	0.472426138
86	0.4718027074
87	0.4712098808
88	0.4708931369
89	0.4699681996
90	0.4696481751
91	0.4690844416
92	0.4681698639
93	0.4676546477
94	0.4673335009
95	0.4669923256
96	0.4665529502
97	0.466076194
98	0.4657940251
99	0.4651608825
100	0.4645527755
101	0.463868353
102	0.4635411631
103	0.4628110289
104	0.462141153
105	0.4615759087
106	0.4609249822
107	0.4605153042
108	0.4598481045
109	0.4593451472
110	0.4584779645
111	0.4579661152
112	0.4573127283
113	0.4568292383
114	0.4562262248
115	0.455757972
116	0.4554199046
117	0.4551723971
118	0.4545158591
119	0.4542080503
120	0.4537476536
121	0.453023951
122	0.4525864748
123	0.4518221109
124	0.4515272947
125	0.4507442404
126	0.4503149224
127	0.4498311735
128	0.449183398
129	0.448786281
130	0.4484479977
131	0.4481340163
132	0.4475426573
133	0.446589447
134	0.4460420298
135	0.4455123103
136	0.4453674921
137	0.4447586081
138	0.4443786276
139	0.4439057562
140	0.4435405812
141	0.4429574235
142	0.4421877504
143	0.4416106358
144	0.4414857166
145	0.4412013894
146	0.4409436519
147	0.4405475708
148	0.4403440052
149	0.4398823567
150	0.4395170954
151	0.4391266258
152	0.4386406323
153	0.4384391817
154	0.437986641
155	0.4377849314
156	0.4375309924
157	0.4372496005
158	0.4367415065
159	0.4366433496
160	0.4362770091
161	0.4359944518
162	0.4354238551
163	0.4350247525
