Feature,Cramér's V
province,0.18255203601662348
mother_education,0.13865412942383062
wealth_index,0.11744665425937169
child_age,0.10191671838919078
diarrhoea_last_2_weeks,0.05702496383844225
child_sex,0.047260321742734486
area,0.03952434914916233
fever_last_2_weeks,0.024608771159561345
health_insurance,0.023728279862963858
ever_breastfed,0.019034005467591365
