Strategy,K,Features,CV_F1_Mean,CV_F1_Std
Top 10,10,"mother education, wealth index, Gandaki...",0.6192472103095993,0.06388411008646909
Top 15,15,"mother education, wealth index, Gandaki...",0.6129261384825395,0.07061936359410122
Top 25,25,"mother education, wealth index, Gandaki...",0.6069614286800687,0.06357435532216461
Top 20,20,"mother education, wealth index, Gandaki...",0.6065607343624952,0.08172873016508457
Boruta Conf+Tent,18,"mother education, wealth index, Gandaki...",0.6061900655761501,0.0774301090421959
Boruta Confirmed,18,"mother education, wealth index, Gandaki...",0.6061900655761501,0.0774301090421959
Top 30,30,"mother education, wealth index, Gandaki...",0.6041551718234558,0.066731606154181
Top 5,5,"mother education, wealth index, Gandaki...",0.5966962973282784,0.05296073120628911
