Feature,MI_Score,MI_Rank,Chi2_Score,Chi2_PValue,Chi2_Rank,Variance,Low_Variance,Abs_Correlation,Corr_Rank,F_Score,F_PValue,F_Rank,RFE_LR_Selected,RFE_LR_Rank,RFE_GB_Selected,RFE_GB_Rank,SFS_Selected,RF_Importance,RF_Rank,GB_Importance,GB_Rank,LR_L1_Coef,LR_L1_Rank,XGB_Importance,XGB_Rank,Boruta_Selected,Boruta_Tentative,Boruta_Rank,Boruta_Status,Average_Rank,Median_Rank,Top20_Count,Boruta_Bonus,Combined_Score
shook,0.006530898994317358,13.0,5.0276234795148795,0.024946106328501774,23.0,0.42633024072973097,False,0.0477341239381609,17.0,13.405613787962093,0.0002530787659355308,17.0,True,1,True,1,True,0.042780598804576124,9.0,0.011202642680751423,20.0,0.03931091637491742,13.0,0.03187913,15.0,True,False,1,Confirmed,11.818181818181818,13.0,10,1,6.818181818181818
recent cough,0.017734727245587445,2.0,0.39162151289574787,0.5314482949687027,27.0,0.16466233870953043,False,0.009315235925255794,27.0,0.5094053543609844,0.4754247628663356,27.0,False,7,True,1,True,0.03913311219347938,10.0,0.06127193714367537,4.0,0.0,25.0,0.04137979,8.0,True,False,1,Confirmed,12.636363636363637,8.0,7,1,7.636363636363637
left with child,0.002066310687687034,20.0,20.793932894180426,5.114472999241454e-06,12.0,2.858494992098271,False,0.044879742376955835,18.0,11.8471652459563,0.0005815211214062096,18.0,True,1,False,4,True,0.0499510174913388,6.0,0.025795962782925588,9.0,0.0,25.0,0.028119402,26.0,True,False,1,Confirmed,12.727272727272727,12.0,9,1,7.727272727272727
Sudurpaschim,0.0034177381469364665,17.0,18.04999998527908,2.1517864544499264e-05,14.0,0.10759949263386237,False,0.05919031837065835,14.0,20.63781298999794,5.660012794222486e-06,14.0,False,5,True,1,False,0.01979165912362118,21.0,0.01335854188413073,16.0,0.012112978121344433,17.0,0.02712898,27.0,False,False,3,Rejected,13.545454545454545,14.0,9,0,13.545454545454545
recent fever,0.0114024556867236,9.0,0.0019453051810768224,0.9648202178637549,28.0,0.16376816199355038,False,0.0006563894037867654,28.0,0.0025290732695958194,0.959893089383197,28.0,False,8,True,1,True,0.037095438195501894,12.0,0.054699990488495,5.0,0.0,25.0,0.04625037,5.0,False,False,2,Rejected,13.727272727272727,9.0,7,0,13.727272727272727
Lumbini,0.013814167926206267,6.0,2.9657924723586135,0.08504277813697299,25.0,0.12706822361981512,False,0.02436703197182591,25.0,3.4873963399843873,0.061887569717746296,25.0,False,2,True,1,True,0.026368462860766873,15.0,0.010278730903750397,22.0,0.016334939958767305,14.0,0.02923563,21.0,False,False,7,Rejected,14.818181818181818,15.0,6,0,14.818181818181818
walking assistance,0.00367918458342098,16.0,8.198380565583232,0.004192779703812719,18.0,0.27222059009856325,False,0.058757452196037466,15.0,20.3360210224855,6.6230087059015205e-06,15.0,True,1,False,5,True,0.016387091467407792,23.0,0.004909499360196135,25.0,0.012858805624430768,16.0,0.02896255,23.0,False,False,6,Rejected,14.818181818181818,16.0,8,0,14.818181818181818
can pick up,0.0,26.0,5.757235675648378,0.0164208868421456,21.0,0.9538251041813153,False,0.02982034560430606,23.0,5.224561136933912,0.022305545056316652,23.0,True,1,True,1,True,0.013685892745843397,26.0,0.00990112349019804,23.0,0.350209723634532,1.0,0.03412607,12.0,False,False,7,Rejected,14.909090909090908,21.0,5,0,14.909090909090908
child sex,0.0,26.0,0.48101265813376637,0.4879639818306286,26.0,0.24991622796575053,False,0.012946050723973085,26.0,0.9839782612523508,0.3212594941910072,26.0,False,4,False,6,True,0.05732769241211933,4.0,0.011243542386912986,19.0,0.008347407863047145,19.0,0.029350778,19.0,False,False,5,Rejected,16.363636363636363,19.0,7,0,16.363636363636363
Madhesh,0.0,26.0,3.6546681640652476,0.05591229198086381,24.0,0.12849745342298102,False,0.02708186267723233,24.0,4.308378051243428,0.037968541170032365,24.0,False,9,True,1,False,0.022445202740900703,19.0,0.014444409148316873,14.0,0.0,25.0,0.033099987,13.0,False,False,4,Rejected,16.636363636363637,19.0,6,0,16.636363636363637
child disability,0.0,26.0,7.94422827375727,0.004824098578455162,19.0,0.2442806151976858,False,0.060303772612786306,12.0,21.424430002753038,3.7597224847303237e-06,12.0,True,1,False,7,True,0.009430100019919816,28.0,0.0017933038278543669,26.0,0.0058610596364244635,20.0,0.011987192,28.0,False,False,9,Rejected,17.09090909090909,19.0,7,0,17.09090909090909
currently breastfed,0.0017332714083519996,21.0,9.059602648079398,0.0026131876062077783,16.0,0.9543420368067866,False,0.03974969094408544,21.0,9.289500412986994,0.002314965813926508,21.0,True,1,False,8,True,0.01944054728422289,22.0,0.001621545088313439,28.0,0.0,25.0,0.03086363,17.0,False,False,10,Rejected,17.272727272727273,21.0,5,0,17.272727272727273
ever breastfed,0.007614388119806748,11.0,8.572048191962287,0.0034136292692239184,17.0,0.9544846059024706,False,0.040269705361329594,20.0,9.53454230986639,0.002025816200024565,20.0,False,6,False,9,True,0.01079205181656527,27.0,0.001720733823573047,27.0,0.0,25.0,0.028658252,24.0,False,False,11,Rejected,17.90909090909091,20.0,7,0,17.90909090909091
