Accuracy,Precision,Recall,F1-Score,Balanced_Acc,MCC,Cohen Kappa,ROC-AUC,Avg_Precision,Brier,Model,Category,best_epoch
0.6222741433021807,0.6288353834524464,0.6222741433021807,0.62406597022855,0.6214378647633917,0.24057672709581493,0.2393996687625497,0.6377049180327868,0.5388763301617825,0.23808149993419647,TabNet,Deep Learning,
0.6066978193146417,0.614312563791494,0.6066978193146417,0.6086614070815949,0.6064495743652651,0.21077732196048343,0.2094714204204644,0.6439971252617622,0.5415549726502709,0.2349759362498122,SVM,Traditional ML,
0.6051401869158879,0.6085992510562027,0.6051401869158879,0.6064237171889746,0.6007100107802683,0.20011379879113741,0.1998082454458293,0.640029490849163,0.5567462401389391,0.23579094106464196,AdaBoost,Gradient Boosting,
0.6035825545171339,0.6160365962550035,0.6035825545171339,0.6056227920129353,0.607416081186573,0.2126167131198929,0.20966173760357565,0.6370680148197713,0.5608386205985789,0.23624761311713346,Logistic Regression,Traditional ML,
0.602803738317757,0.6156893055181314,0.602803738317757,0.6048249210868354,0.606966283781272,0.2117502975571382,0.2086430047493022,0.6366739774233919,0.5593794634160969,0.23640130342211205,LDA,Traditional ML,
0.6035825545171339,0.6051984273764799,0.6035825545171339,0.6042855425029449,0.5970447195271551,0.19340215498947305,0.19333195094496125,0.6228901032179721,0.5149939126434341,0.2568561680670516,Decision Tree,Traditional ML,
0.6066978193146417,0.6006617996722298,0.6066978193146417,0.6011269979974633,0.5887030221924836,0.1825276423274056,0.1808659006154687,0.6306382662354559,0.5395297168737364,0.23448166251182556,ResNet (Keras),Deep Learning,3.0
0.5973520249221184,0.6008497631545257,0.5973520249221184,0.5986608713741615,0.5927549161741199,0.1843067882561812,0.18402537060255175,0.6287015352589123,0.5354262145786388,0.23994795443498973,Random Forest,Traditional ML,
0.6105919003115264,0.6022157828340567,0.6105919003115264,0.597553530871249,0.5847291922233374,0.18139939745709732,0.17561039501359854,0.6379527402946605,0.5423158478168437,0.2336219996213913,Wide & Deep (Keras),Deep Learning,30.0
0.5942367601246106,0.5997528747097565,0.5942367601246106,0.5959904590516162,0.5916471506635441,0.18171399296910612,0.18108235155859798,0.6268453465174777,0.5381367922824966,0.2389594325650342,Hist Gradient Boosting,Gradient Boosting,
0.5919003115264797,0.5959681043702556,0.5919003115264797,0.5933648500867594,0.5877625367086725,0.17426852502966844,0.17392169140668168,0.6329814257214725,0.5368591192254314,0.23798799717547947,Extra Trees,Traditional ML,
0.5981308411214953,0.5914651796411781,0.5981308411214953,0.5919729914037317,0.5793762313668637,0.1637193202091074,0.16203889904915125,0.6201615801147417,0.5238655038719777,0.24123142659664154,DNN (Keras),Deep Learning,77.0
0.5903426791277259,0.5950838803027959,0.5903426791277259,0.5919621404270412,0.5868629418980706,0.17235594887228775,0.17190339216219996,0.6332738559904836,0.5355599835484433,0.23643472433813822,CatBoost,Gradient Boosting,
0.589563862928349,0.5918358589326247,0.589563862928349,0.5905124711582908,0.5834169733467158,0.16606429049715107,0.1659542368619562,0.6133960323655874,0.5247529052817366,0.2457468745408396,LightGBM,Gradient Boosting,
0.589563862928349,0.5914266501478457,0.589563862928349,0.5903673799440139,0.5829560239396305,0.1652635534819501,0.16518868343523774,0.6231428819250833,0.532548445347176,0.23968620598316193,XGBoost,Gradient Boosting,
0.5778816199376947,0.5800955673434107,0.5778816199376947,0.578820725055138,0.5713690940857217,0.14210429439467223,0.1420180934557318,0.5991041225233262,0.4956757906156535,0.26956386292834894,KNN,Traditional ML,
