Model,Accuracy,Precision,Recall,F1_Score,Best_Epoch
Wide_DNN,0.6035825610160828,0.5452488660812378,0.43897995352745056,0.4863773965691221,1
Residual_DNN,0.6020249128341675,0.5456730723381042,0.4134790599346161,0.47046632124352333,4
Deep_DNN,0.605140209197998,0.5522388219833374,0.40437158942222595,0.4668769716088328,38
Simple_DNN,0.6004672646522522,0.550000011920929,0.3606557250022888,0.43564356435643564,2
